Date,Description,Category,Amount,Balance,Account Holder,Account Type,Transaction ID
05/29,Electricity Bill Payment,Utility Payment,-193.23,13066.78,"LARSON, MCCOY AND MOSES",Personal,JTUC7529830008
05/31,Digital Book Acquisition,Online Purchase,-344.84,12721.94,"LARSON, MCCOY AND MOSES",Personal,ESTM0818780005
06/01,Tax Refund Credited,Tax Refund,554.96,13276.9,"LARSON, MCCOY AND MOSES",Personal,POBP8268740011
06/03,Online Bookstore Shopping,Online Purchase,-307.11,12969.79,"LARSON, MCCOY AND MOSES",Personal,YNAM9874030002
06/03,Milk Eggs & Bread Groc,Grocery Shopping,-415.89,12553.9,"LARSON, MCCOY AND MOSES",Personal,XHZM5330130004
06/05,Tax Refund Credit Person,Tax Refund,346.07,12899.970000000001,"LARSON, MCCOY AND MOSES",Personal,HDQT2182920007
06/06,Check Deposit Payroll C,Cash Deposit,259.58,13159.550000000001,"LARSON, MCCOY AND MOSES",Personal,XFSY7290150000
06/08,Refunded Taxes Returned,Tax Refund,865.8,14025.35,"LARSON, MCCOY AND MOSES",Personal,YXOA4749520009
06/10,Tax Refund Credited,Tax Refund,292.44,14317.79,"LARSON, MCCOY AND MOSES",Personal,QAMU7706110001
06/11,Monthly Salary Deposit,Salary Deposit,920.94,15238.73,"LARSON, MCCOY AND MOSES",Personal,BMMY0302980006
06/14,Monthly Salary Deposit,Salary Deposit,469.79,15708.52,"LARSON, MCCOY AND MOSES",Personal,EHNJ1714450010
06/16,Check Deposit Payroll I,Cash Deposit,458.53,16167.05,"LARSON, MCCOY AND MOSES",Personal,LSXD8580370003
