Date,Description,Category,Amount,Balance,Account Holder,Account Type,Transaction ID
05/30,Tax Refund Credited Accou,Tax Refund,919.8,8299.039999999999,"LARSON, MCCOY AND MOSES",Personal,FZAD2675970011
06/02,Rent Payment Due,Client Payment,105.54,8404.58,"LARSON, MCCOY AND MOSES",Personal,DAVD5702880002
06/02,Tax Refund Credited Accou,Tax Refund,453.61,8858.189999999999,"LARSON, MCCOY AND MOSES",Personal,CCDH8939790005
06/03,Monthly Salary Deposit,Salary Deposit,775.12,9633.31,"LARSON, MCCOY AND MOSES",Personal,TADF7871590010
06/04,Refund Received Tax,Tax Refund,731.91,10365.22,"LARSON, MCCOY AND MOSES",Personal,CWGG4535780001
06/09,Apartment Rent Payment,Rent Payment,-212.29,10152.93,"LARSON, MCCOY AND MOSES",Personal,GNBN1277340003
06/09,Home Decor Online Order,Online Purchase,-353.03,9799.9,"LARSON, MCCOY AND MOSES",Personal,HQDJ9454300006
06/09,Check Deposit Payroll,Cash Deposit,547.36,10347.26,"LARSON, MCCOY AND MOSES",Personal,WXQP6029480007
06/10,Electricity Bill Payment,Utility Payment,-202.14,10145.119999999999,"LARSON, MCCOY AND MOSES",Personal,IZBO3867690008
06/13,Checked Cash Deposit At A,Cash Deposit,989.06,11134.18,"LARSON, MCCOY AND MOSES",Personal,ZVKH8254770000
06/19,Check Deposit Weekly All,Cash Deposit,716.07,11850.25,"LARSON, MCCOY AND MOSES",Personal,SIGD4846540009
06/20,Rent Payment Smith Apar,Rent Payment,-312.09,11538.16,"LARSON, MCCOY AND MOSES",Personal,LIUP7736210004
