Date,Description,Category,Amount,Balance,Account Holder,Account Type,Transaction ID
05/25,Monthly Subscription Fee,Subscription Fee,-57.46,9731.820000000002,"LARSON, MCCOY AND MOSES",Personal,UCFH7341250001
05/25,Monthly Netflix Fee,Subscription Fee,-78.26,9653.560000000001,"LARSON, MCCOY AND MOSES",Personal,DQBD9802330008
05/27,Monthly Subscription Fee,Subscription Fee,-453.32,9200.240000000002,"LARSON, MCCOY AND MOSES",Personal,AEYA5273560003
06/01,Home Cash Deposit Atm,Cash Deposit,828.05,10028.29,"LARSON, MCCOY AND MOSES",Personal,FJHX1184620005
06/02,Personal Gift Received,Gift Received,529.15,10557.44,"LARSON, MCCOY AND MOSES",Personal,CFUT1334120006
06/04,Check Deposit John's Sal,Cash Deposit,893.55,11450.990000000002,"LARSON, MCCOY AND MOSES",Personal,GDJY2274500009
06/09,Electricity Bill Payment,Utility Payment,-218.37,11232.62,"LARSON, MCCOY AND MOSES",Personal,OCNS0163710011
06/12,Gift Received Birthday,Gift Received,587.7,11820.320000000002,"LARSON, MCCOY AND MOSES",Personal,AZCY8207290007
06/19,Monthly Streaming Subscri,Subscription Fee,-52.0,11768.320000000002,"LARSON, MCCOY AND MOSES",Personal,ZALI6582980002
06/21,Tax Refund Credited Accou,Tax Refund,960.28,12728.6,"LARSON, MCCOY AND MOSES",Personal,IZQQ9085930010
06/22,Friendly Birthday Gift Re,Gift Received,762.64,13491.240000000002,"LARSON, MCCOY AND MOSES",Personal,PVSN2911090004
06/23,Digital Book Acquisition,Online Purchase,-427.47,13063.77,"LARSON, MCCOY AND MOSES",Personal,FXGM0297760000
