Date,Description,Category,Amount,Balance,Account Holder,Transaction ID
2025-03-10,Groceries Withdrawal,Groceries,-322.54,677.46,John Doe,DLBQ31492960724165
2025-03-15,Fund Transfer Inflow,Deposit,418.1,1095.56,John Doe,CVZM85982327560238
2025-03-24,Bills Withdrawal,Bills,-36.26,1059.3,John Doe,PZGW62267657347876
2025-03-26,Grocery Withdrawal,Groceries,-54.1,1005.2,John Doe,WDNX29905952620858
2025-03-27,Fund Transfer In / Deposit Received,Deposit,497.38,1502.58,John Doe,QHKP71939255349920
2025-03-28,Groceries Withdrawal,Groceries,-41.64,1460.94,John Doe,WKWQ73166934128809
2025-03-30,Fund Transfer Received,Deposit,155.01,1615.95,John Doe,FBFR05969449256040
2025-04-08,Bills Withdrawal,Bills,-323.41,1292.54,John Doe,XYWE21025701556296
2025-04-12,Fund Transfer Received,Deposit,194.42,1486.96,John Doe,ENME22573350286321
2025-04-19,Groceries Withdrawal,Groceries,-115.66,1371.3000000000002,John Doe,EMDG42665930792982
2025-04-21,"""Bill Withdrawal""",Bills,-441.68,929.6200000000001,John Doe,RVRU99933920570198
2025-04-26,"""Bill Withdrawal""",Bills,-295.59,634.0300000000001,John Doe,DCLF65856245669746
2025-05-04,Grocery Withdrawal,Groceries,-172.78,461.2500000000001,John Doe,MFMG12425195204366
2025-05-10,"""Bill Withdrawal""",Bills,-358.35,102.90000000000009,John Doe,PRYE45062046953547
2025-05-17,Deposit: Rental Income,Deposit,922.54,1025.44,John Doe,YDPJ14294046757568
2025-05-19,Grocery Withdrawal,Groceries,-179.41,846.0300000000001,John Doe,SAOM42274809265995
2025-05-21,"""Bills Withdrawal""",Bills,-297.37,548.6600000000001,John Doe,RCSB11939622079486
2025-05-21,"""Bill Withdrawal""",Bills,-290.72,257.94000000000005,John Doe,IDPS29522681533496
2025-05-23,Deposit: Rent Payment,Deposit,993.48,1251.42,John Doe,SOAB93836248093660
2025-06-05,Grocery Withdrawal,Groceries,-160.26,1091.16,John Doe,LKMB36981947070587
