Date,Description,Category,Amount,Balance,Account Holder,Transaction ID
2025-03-08,Online Clothing Shopping,Online Purchase,-350.72,649.28,John Doe,IXXE95488709265275
2025-03-10,Gift Received [name],Gift Received,742.09,1391.37,John Doe,TLPZ00400138047858
2025-03-13,Salary Direct Deposit,Salary Deposit,984.39,2375.76,John Doe,QXRT55290243477530
2025-03-18,Tax Refund Issued,Tax Refund,459.89,2835.65,John Doe,LGCT04863707850567
2025-03-20,Grocery Shopping Expense,Grocery Shopping,-317.02,2518.63,John Doe,YBPF60784118544448
2025-03-22,Salary Direct Deposit,Salary Deposit,210.94,2729.57,John Doe,GGLB84076090600462
2025-03-24,Salary Deposit Employer,Salary Deposit,720.99,3450.5600000000004,John Doe,CSCW29398511331223
2025-04-14,Online Bookstore Order,Online Purchase,-279.05,3171.51,John Doe,XWBM01153133281455
2025-04-17,Rent Charge Paid,Rent Payment,-379.26,2792.25,John Doe,TPIB52828712904498
2025-04-19,Tax Refund Credit,Tax Refund,221.04,3013.29,John Doe,UTJF27667673651641
2025-04-23,Rent Payment Due Date,Rent Payment,-208.58,2804.71,John Doe,DJYZ73100923300320
2025-05-07,Grocery Shopping Expense,Grocery Shopping,-301.23,2503.4800000000005,John Doe,JGEJ59423408840213
2025-05-07,Grocery Shopping Expense,Grocery Shopping,-358.62,2144.86,John Doe,IPIK82916960008296
2025-05-08,Cash Deposited At Atm,Cash Deposit,427.77,2572.63,John Doe,MYQJ22991633832821
2025-05-18,Cash Deposited At Bank At,Cash Deposit,664.44,3237.07,John Doe,OPDC93366175189496
2025-05-19,Gift Received Birthday,Gift Received,571.15,3808.2200000000003,John Doe,GHOB60996744210146
2025-05-26,Insurance Premium Due,Insurance Bill,-319.26,3488.96,John Doe,RDCN81237074934018
2025-05-30,Tax Refund Returned,Tax Refund,191.9,3680.86,John Doe,NDPD59607037121247
2025-05-31,Grocery Shopping Expense,Grocery Shopping,-263.3,3417.56,John Doe,FBVB43664421585922
2025-06-02,Tax Refund Issued,Tax Refund,182.61,3600.17,John Doe,CFYA20237318851311
