Date,Description,Category,Amount,Balance,Account Holder,Transaction ID
05/14,Client Payment Charge Ca,Client Payment,730.45,15781.25,CLAY-LEE,TDRE1961060009
05/15,Grocery Shopping Chase Ba,Grocery Shopping,-290.57,15490.679999999998,CLAY-LEE,QKZG4144480006
05/16,Chase Bank Rent Payment,Rent Payment,-283.35,15207.33,CLAY-LEE,OCUR6956940004
05/25,Online Shopping Transacti,Online Purchase,-430.38,14776.949999999999,CLAY-LEE,RNVG2096940001
05/25,Digital Goods Acquisition,Online Purchase,-216.96,14559.99,CLAY-LEE,NLKE7848670008
05/29,Rent Charge Chase,Rent Payment,-35.22,14524.769999999999,CLAY-LEE,ITSS7539470002
05/29,Electricity Expense Payme,Utility Payment,-465.2,14059.57,CLAY-LEE,PBLG3749190011
05/31,Rent Payment To Landlord,Rent Payment,-442.19,13617.38,CLAY-LEE,BGGY3124170010
06/05,Chase Salary Deposit Em,Salary Deposit,668.36,14285.74,CLAY-LEE,XGIQ9413250005
06/07,Rent Payment To Landlord,Rent Payment,-301.26,13984.48,CLAY-LEE,CIJN0238130003
06/08,Grocery Shopping Chase,Grocery Shopping,-160.38,13824.099999999999,CLAY-LEE,PXAC8501580007
06/09,Chase Grocery Shopping Ex,Grocery Shopping,-361.69,13462.41,CLAY-LEE,YCMG7412790000
