Date,Description,Category,Amount,Balance,Account Holder,Transaction ID
05/15,Apartment Rent Payment,Rent Payment,-28.65,4909.660000000001,JONES-HERNANDEZ,LRPI9847220009
05/18,Apartment Rent Payment,Rent Payment,-319.18,4590.4800000000005,JONES-HERNANDEZ,YPUW4080990004
05/18,Gift Received From John,Gift Received,66.97,4657.450000000001,JONES-HERNANDEZ,IFLX9327850005
05/24,Cash Deposited At Bank Br,Cash Deposit,377.36,5034.81,JONES-HERNANDEZ,ZJJY9113350010
05/30,Online Shopping Transacti,Online Purchase,-396.67,4638.14,JONES-HERNANDEZ,RQEK6118110000
05/31,Apartment Rent Payment,Rent Payment,-230.96,4407.18,JONES-HERNANDEZ,KLDT7152330008
06/01,Cash Deposited At Branch,Cash Deposit,541.18,4948.360000000001,JONES-HERNANDEZ,UGJR1738930002
06/02,Grocery Shopping Expense,Grocery Shopping,-410.7,4537.660000000001,JONES-HERNANDEZ,QWJL7689800001
06/03,Gift Received Birthday,Gift Received,538.52,5076.18,JONES-HERNANDEZ,ORYD5730800011
06/04,Gift Received From John D,Gift Received,468.15,5544.33,JONES-HERNANDEZ,SSBG6752640006
06/06,Online Bookstore Shopping,Online Purchase,-274.48,5269.85,JONES-HERNANDEZ,KDIK6973220003
06/06,Tax Refund Credit,Tax Refund,843.22,6113.070000000001,JONES-HERNANDEZ,ARTF5960210007
