Date,Description,Category,Amount,Balance,Account Holder,Transaction ID
05/12,Chase Cash Deposit Atm,Cash Deposit,631.1,15681.9,KING-GIBBS,PISI8405450006
05/14,Chase Tax Refund Credit,Tax Refund,232.78,15914.679999999998,KING-GIBBS,AWPU8975640011
05/17,Chase Cash Deposit Check,Cash Deposit,553.68,16468.36,KING-GIBBS,NKDT5635600004
05/17,Chase Client Payment Se,Client Payment,62.73,16531.09,KING-GIBBS,XGHE9230260007
05/28,Grocery Shopping Chase P,Grocery Shopping,-445.89,16085.199999999999,KING-GIBBS,LMBH3944480002
05/30,Electricity Payment To Ch,Utility Payment,-232.2,15853.0,KING-GIBBS,DILR9312200000
05/30,Rent Payment To Landlord,Rent Payment,-264.62,15588.38,KING-GIBBS,LFLL6425300003
05/30,Chase Deposited Cash,Cash Deposit,883.23,16471.61,KING-GIBBS,ASIE0805550008
06/04,Chase Salary Deposit Em,Salary Deposit,626.61,17098.22,KING-GIBBS,OMTX2857620009
06/06,Chase Subscription Fee Ch,Subscription Fee,-145.99,16952.23,KING-GIBBS,PLFD7799100010
06/08,Electricity Payment To Ch,Utility Payment,-465.83,16486.399999999998,KING-GIBBS,OXZX1362920001
06/08,Electricity Payment To Ve,Utility Payment,-397.82,16088.58,KING-GIBBS,KFPO4492830005
