Date,Description,Category,Amount,Balance,Account Holder,Transaction ID
2025-03-10,Groceries Market Purcha,GROCERIES,-226.66,773.34,John Doe,FPBC54254224852031
2025-03-31,Birthday Gift Purchase,GIFTS,333.74,1107.08,John Doe,EOYW81244235413543
2025-04-13,Water Bill Payment,UTILITIES,-237.73,869.35,John Doe,KCSC76413457967967
2025-04-16,Birthday Gift Purchase,GIFTS,983.54,1852.8899999999999,John Doe,NDVQ08514645503271
2025-04-16,Investment Income Earned,INVESTMENT_INCOME,557.52,2410.41,John Doe,ZAEA12057113075624
2025-04-21,Investment Income Earned,INVESTMENT_INCOME,773.38,3183.79,John Doe,KDPT10943018844964
2025-05-04,Employee Salary Deposit,SALARY,67.28,3251.07,John Doe,TGGS88714199560371
2025-05-09,Birthday Gift Purchased,GIFTS,190.17,3441.2400000000002,John Doe,WMDC20083933174620
2025-05-10,Birthday Present Purchase,GIFTS,568.02,4009.26,John Doe,MLRE98464061633811
2025-05-21,Spotify Subscription Fee,SUBSCRIPTIONS,-378.7,3630.5600000000004,John Doe,CPRF26280140634664
2025-05-28,Grocery Market Shopping,GROCERIES,-458.38,3172.1800000000003,John Doe,GTFC26953479997114
2025-06-06,Loan Payment Instalment,LOAN_PAYMENTS,-93.08,3079.1000000000004,John Doe,FXDM14503849874967
