Date,Description,Category,Amount,Balance,Account Holder,Transaction ID
2025-03-23,Salary Income Deposit,Salary Income,329.68,1329.68,John Doe,EAAQ30204736596743
2025-03-23,Grocery Store Shopping,Groceries,-67.95,1261.73,John Doe,JSTG23326535883428
2025-03-25,Rent Payment Due,Rent,-35.84,1225.89,John Doe,ZSNN11210586851474
2025-03-28,Grocery Store Expense,Groceries,-414.15,811.74,John Doe,VWCP00486123231673
2025-03-28,Rent Payment Due,Rent,-118.8,692.94,John Doe,DRSZ10872498344650
2025-04-08,Grocery Items Acquired,Groceries,-68.1,624.84,John Doe,SSMR40752739539476
2025-04-09,Salary Income Direct Depo,Salary Income,389.07,1013.9100000000001,John Doe,ORCX36054481183664
2025-05-03,Gift Card Purchase,Gifts,718.27,1732.18,John Doe,WFDS73623973961200
2025-05-09,Gift Card Purchased,Gifts,200.37,1932.5500000000002,John Doe,EJKL11006037594407
2025-05-13,Employee Salary Deposit,Salary Income,90.45,2023.0,John Doe,IVKA07854071592784
2025-05-30,Gift Card Purchase Exact,Gifts,509.7,2532.7,John Doe,ENPH95085166626831
2025-06-04,Gift Purchased 5 Charact,Gifts,662.22,3194.92,John Doe,KWFQ51928100769309
