Date,Description,Category,Amount,Balance,Account Holder,Transaction ID
2025-03-15,Tax Refund Deposit,Tax Refund,539.74,1539.74,John Doe,WVRZ02611609408439
2025-03-16,Client Invoice Payment,Client Payment,339.64,1879.38,John Doe,IPDT99090639989427
2025-03-23,Cash Deposit Transaction,Cash Deposit,738.09,2617.4700000000003,John Doe,OAIH95192059144614
2025-03-23,Loan Repayment Installment,Loan Repayment,-497.83,2119.6400000000003,John Doe,WGDX27579464252503
2025-04-07,Monthly Rent Payment,Rent Payment,-477.88,1641.7600000000002,John Doe,JDAO74135536750980
2025-04-23,Monthly Rent Payment,Rent Payment,-182.1,1459.66,John Doe,XVAX28609305555825
2025-04-29,Client Invoice Payment,Client Payment,878.66,2338.32,John Doe,IQVK45004659741740
2025-05-21,Insurance Premium Bill,Insurance Bill,-294.95,2043.3700000000001,John Doe,XKFH14366966222968
2025-06-02,Monthly Subscription Fee,Subscription Fee,-84.99,1958.38,John Doe,SNHW11060456520827
2025-06-05,Monthly Subscription Fee,Subscription Fee,-295.45,1662.93,John Doe,KZOQ71368742527146
2025-06-06,Gift Received Deposit,Gift Received,585.97,2248.9,John Doe,NWXL35634479908062
2025-06-08,Monthly Subscription Fee,Subscription Fee,-330.58,1918.3200000000002,John Doe,DHCM82469754389039
